round:6, server:15, service:2, this-value:-383.05562531073383, time-cost:0.7280497550964355, server-best-service:1, server-best-value:-413.0098158116787
round:6, server:15, service:3, this-value:-382.1557901615062, time-cost:0.7320728302001953, server-best-service:1, server-best-value:-413.0098158116787
round:6, server:15, service:4, this-value:-383.62323435533375, time-cost:0.7501716613769531, server-best-service:1, server-best-value:-413.0098158116787
round:6, server:15, service:5, this-value:-394.2966180310017, time-cost:0.7456479072570801, server-best-service:1, server-best-value:-413.0098158116787
round:6, server:15, service:6, this-value:-386.2821766657225, time-cost:0.7325677871704102, server-best-service:1, server-best-value:-413.0098158116787
round:6, server:15, service:7, this-value:-386.2755330489216, time-cost:0.7464768886566162, server-best-service:1, server-best-value:-413.0098158116787
round:6, server:15, service:8, this-value:-383.38403923283687, time-cost:0.7427999973297119, server-best-service:1, server-best-value:-413.0098158116787
round:6, server:15, service:9, this-value:-380.4675200575805, time-cost:0.7305140495300293, server-best-service:1, server-best-value:-413.0098158116787
round:6, server:15, service:10, this-value:-381.1374801897934, time-cost:0.7443568706512451, server-best-service:1, server-best-value:-413.0098158116787
round:7, server:15, service:1, this-value:-453.5572301290981, time-cost:0.8752114772796631, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:2, this-value:-424.17064867275315, time-cost:0.8276865482330322, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:3, this-value:-424.17064867275315, time-cost:0.8296871185302734, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:4, this-value:-424.1706486727532, time-cost:0.7920875549316406, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:5, this-value:-434.844032348421, time-cost:0.7708151340484619, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:6, this-value:-426.82959098314177, time-cost:0.7763257026672363, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:7, this-value:-426.822947366341, time-cost:0.7537591457366943, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:8, this-value:-424.1706486727531, time-cost:0.7820734977722168, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:9, this-value:-424.1706486727532, time-cost:0.7473397254943848, server-best-service:1, server-best-value:-453.5572301290981
round:7, server:15, service:10, this-value:-424.1706486727531, time-cost:0.7467184066772461, server-best-service:1, server-best-value:-453.5572301290981
round:8, server:15, service:1, this-value:-490.2733708493604, time-cost:0.7221698760986328, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:2, this-value:-460.88678939301536, time-cost:0.7275946140289307, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:3, this-value:-460.88678939301536, time-cost:0.7251636981964111, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:4, this-value:-460.8867893930153, time-cost:0.7198984622955322, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:5, this-value:-471.5601730686833, time-cost:0.7246689796447754, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:6, this-value:-463.5457317034041, time-cost:0.7218291759490967, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:7, this-value:-463.5390880866032, time-cost:0.7211964130401611, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:8, this-value:-460.88678939301536, time-cost:0.7333498001098633, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:9, this-value:-460.88678939301536, time-cost:0.7298033237457275, server-best-service:1, server-best-value:-490.2733708493604
round:8, server:15, service:10, this-value:-460.8867893930153, time-cost:0.7233684062957764, server-best-service:1, server-best-value:-490.2733708493604
round:9, server:15, service:1, this-value:-524.3434788785733, time-cost:1.2295355796813965, server-best-service:1, server-best-value:-524.3434788785733
round:9, server:15, service:2, this-value:-494.95689742222817, time-cost:0.718635082244873, server-best-service:1, server-best-value:-524.3434788785733
round:9, server:15, service:3, this-value:-494.9568974222282, time-cost:0.7200722694396973, server-best-service:1, server-best-value:-524.3434788785733
round:9, server:15, service:4, this-value:-494.9568974222281, time-cost:0.71708083152771, server-best-service:1, server-best-value:-524.3434788785733
round:9, server:15, service:5, this-value:NoSolution, time-cost:0.6985821723937988, server-best-service:1, server-best-value:-524.3434788785733
