round:1, server:2, service:1, this-value:-46.25676931086006, time-cost:0.8010094165802002, server-best-service:1, server-best-value:-46.25676931086006
round:1, server:2, service:2, this-value:-39.49162682124613, time-cost:0.7760004997253418, server-best-service:1, server-best-value:-46.25676931086006
round:1, server:2, service:3, this-value:-33.07603798568078, time-cost:0.7678332328796387, server-best-service:1, server-best-value:-46.25676931086006
round:1, server:2, service:4, this-value:-43.53853058203757, time-cost:0.7590773105621338, server-best-service:1, server-best-value:-46.25676931086006
round:1, server:2, service:5, this-value:-56.73267296260155, time-cost:0.7626254558563232, server-best-service:5, server-best-value:-56.73267296260155
round:1, server:2, service:6, this-value:-30.811205560491814, time-cost:0.7491846084594727, server-best-service:5, server-best-value:-56.73267296260155
round:1, server:2, service:7, this-value:-51.055475278643264, time-cost:0.7340352535247803, server-best-service:5, server-best-value:-56.73267296260155
round:1, server:2, service:8, this-value:-41.833132033503986, time-cost:0.7307536602020264, server-best-service:5, server-best-value:-56.73267296260155
round:1, server:2, service:9, this-value:-21.039114512017846, time-cost:0.7547776699066162, server-best-service:5, server-best-value:-56.73267296260155
round:1, server:2, service:10, this-value:-25.815754709045237, time-cost:0.7386972904205322, server-best-service:5, server-best-value:-56.73267296260155
round:2, server:2, service:1, this-value:-133.21655313240487, time-cost:1.0907588005065918, server-best-service:1, server-best-value:-133.21655313240487
round:2, server:2, service:2, this-value:-126.45141064279096, time-cost:0.7713222503662109, server-best-service:1, server-best-value:-133.21655313240487
round:2, server:2, service:3, this-value:-120.03582180722559, time-cost:0.775465726852417, server-best-service:1, server-best-value:-133.21655313240487
round:2, server:2, service:4, this-value:-130.49831440358238, time-cost:1.0569100379943848, server-best-service:1, server-best-value:-133.21655313240487
round:2, server:2, service:5, this-value:-143.69245678414637, time-cost:0.7451567649841309, server-best-service:5, server-best-value:-143.69245678414637
round:2, server:2, service:6, this-value:-117.7709893820366, time-cost:0.7938146591186523, server-best-service:5, server-best-value:-143.69245678414637
round:2, server:2, service:7, this-value:-138.01525910018805, time-cost:0.8865559101104736, server-best-service:5, server-best-value:-143.69245678414637
round:2, server:2, service:8, this-value:-128.79291585504882, time-cost:0.7377510070800781, server-best-service:5, server-best-value:-143.69245678414637
round:2, server:2, service:9, this-value:-107.99889833356265, time-cost:0.7515771389007568, server-best-service:5, server-best-value:-143.69245678414637
round:2, server:2, service:10, this-value:-112.77553853059005, time-cost:0.7426207065582275, server-best-service:5, server-best-value:-143.69245678414637
round:3, server:2, service:1, this-value:-212.2096340622809, time-cost:0.7300324440002441, server-best-service:1, server-best-value:-212.2096340622809
round:3, server:2, service:2, this-value:-205.444491572667, time-cost:0.7291522026062012, server-best-service:1, server-best-value:-212.2096340622809
round:3, server:2, service:3, this-value:-199.02890273710165, time-cost:0.7225856781005859, server-best-service:1, server-best-value:-212.2096340622809
round:3, server:2, service:4, this-value:-209.49139533345843, time-cost:0.7203056812286377, server-best-service:1, server-best-value:-212.2096340622809
round:3, server:2, service:5, this-value:-222.6855377140224, time-cost:0.7345149517059326, server-best-service:5, server-best-value:-222.6855377140224
round:3, server:2, service:6, this-value:-196.76407031191263, time-cost:0.7347865104675293, server-best-service:5, server-best-value:-222.6855377140224
round:3, server:2, service:7, this-value:-217.00834003006412, time-cost:0.7310104370117188, server-best-service:5, server-best-value:-222.6855377140224
round:3, server:2, service:8, this-value:-207.78599678492483, time-cost:0.7321782112121582, server-best-service:5, server-best-value:-222.6855377140224
round:3, server:2, service:9, this-value:-186.99197926343868, time-cost:0.754086971282959, server-best-service:5, server-best-value:-222.6855377140224
round:3, server:2, service:10, this-value:-191.76861946046608, time-cost:0.7431478500366211, server-best-service:5, server-best-value:-222.6855377140224
round:4, server:2, service:1, this-value:-291.164349166585, time-cost:0.7390642166137695, server-best-service:1, server-best-value:-291.164349166585
round:4, server:2, service:2, this-value:-284.3992066769711, time-cost:0.7180712223052979, server-best-service:1, server-best-value:-291.164349166585
round:4, server:2, service:3, this-value:-277.98361784140576, time-cost:0.7343714237213135, server-best-service:1, server-best-value:-291.164349166585
round:4, server:2, service:4, this-value:-288.44611043776257, time-cost:0.7213077545166016, server-best-service:1, server-best-value:-291.164349166585
round:4, server:2, service:5, this-value:-301.6402528183264, time-cost:0.7272074222564697, server-best-service:5, server-best-value:-301.6402528183264
round:4, server:2, service:6, this-value:-275.71878541621686, time-cost:0.7351131439208984, server-best-service:5, server-best-value:-301.6402528183264
round:4, server:2, service:7, this-value:-295.9630551343683, time-cost:0.7327225208282471, server-best-service:5, server-best-value:-301.6402528183264
round:4, server:2, service:8, this-value:-286.7407118892289, time-cost:0.7210943698883057, server-best-service:5, server-best-value:-301.6402528183264
round:4, server:2, service:9, this-value:-265.9466943677428, time-cost:0.7266764640808105, server-best-service:5, server-best-value:-301.6402528183264
