initial time: 4.153219938278198
round:6, server:9, server-best-value:-424.17064867275315, round-best-value:-424.17064867275315
round:6, server:10, server-best-value:-379.69442996483485, round-best-value:-424.17064867275315
round:6, server:11, server-best-value:-377.51662416450404, round-best-value:-424.17064867275315
round:6, server:12, server-best-value:-408.9304078680046, round-best-value:-424.17064867275315
round:6, server:13, server-best-value:-404.7982018941012, round-best-value:-424.17064867275315
round:6, server:14, server-best-value:-389.1747737454954, round-best-value:-424.17064867275315
round:6, server:15, server-best-value:-413.0098158116787, round-best-value:-424.17064867275315
round:7, server:1, server-best-value:-427.82817156948255, round-best-value:-427.82817156948255
round:7, server:2, server-best-value:-454.5474933495924, round-best-value:-454.5474933495924
round:7, server:3, server-best-value:-430.0388102001736, round-best-value:-454.5474933495924
round:7, server:4, server-best-value:-432.98012947092553, round-best-value:-454.5474933495924
round:7, server:5, server-best-value:-460.88678939301536, round-best-value:-460.88678939301536
round:7, server:6, server-best-value:-453.4337996005345, round-best-value:-460.88678939301536
round:7, server:7, server-best-value:-424.17064867275326, round-best-value:-460.88678939301536
round:7, server:8, server-best-value:-458.240756701966, round-best-value:-460.88678939301536
round:7, server:9, server-best-value:-424.1706486727532, round-best-value:-460.88678939301536
round:7, server:10, server-best-value:-427.9569337049741, round-best-value:-460.88678939301536
round:7, server:11, server-best-value:-427.8281715694825, round-best-value:-460.88678939301536
round:7, server:12, server-best-value:-449.477822185424, round-best-value:-460.88678939301536
round:7, server:13, server-best-value:-445.3456162115207, round-best-value:-460.88678939301536
round:7, server:14, server-best-value:-431.4214979994817, round-best-value:-460.88678939301536
round:7, server:15, server-best-value:-453.5572301290981, round-best-value:-460.88678939301536
round:8, server:1, server-best-value:-469.1964982343095, round-best-value:-469.1964982343095
round:8, server:2, server-best-value:-491.2636340698547, round-best-value:-491.2636340698547
round:8, server:3, server-best-value:-471.57091585253926, round-best-value:-491.2636340698547
round:8, server:4, server-best-value:-469.6962701911877, round-best-value:-491.2636340698547
round:8, server:5, server-best-value:-460.8867893930154, round-best-value:-491.2636340698547
round:8, server:6, server-best-value:-490.1499403207969, round-best-value:-491.2636340698547
round:8, server:7, server-best-value:-460.8867893930154, round-best-value:-491.2636340698547
round:8, server:8, server-best-value:-494.9568974222282, round-best-value:-494.9568974222282
round:8, server:9, server-best-value:-460.88678939301536, round-best-value:-494.9568974222282
round:8, server:10, server-best-value:-469.48903935733966, round-best-value:-494.9568974222282
round:8, server:11, server-best-value:-469.1964982343095, round-best-value:-494.9568974222282
round:8, server:12, server-best-value:-486.1939629056862, round-best-value:-494.9568974222282
round:8, server:13, server-best-value:-482.0617569317827, round-best-value:-494.9568974222282
round:8, server:14, server-best-value:-468.13763871974373, round-best-value:-494.9568974222282
round:8, server:15, server-best-value:-490.2733708493604, round-best-value:-494.9568974222282
round:9, server:1, server-best-value:-507.5835217833455, round-best-value:-507.5835217833455
round:9, server:2, server-best-value:-525.3337420990675, round-best-value:-525.3337420990675
round:9, server:3, server-best-value:-507.79994943127554, round-best-value:-525.3337420990675
round:9, server:4, server-best-value:-503.7663782204006, round-best-value:-525.3337420990675
round:9, server:5, server-best-value:-494.9568974222283, round-best-value:-525.3337420990675
round:9, server:6, server-best-value:-524.2200483500096, round-best-value:-525.3337420990675
round:9, server:7, server-best-value:-494.9568974222283, round-best-value:-525.3337420990675
round:9, server:8, server-best-value:-494.9568974222283, round-best-value:-525.3337420990675
round:9, server:9, server-best-value:-494.9568974222283, round-best-value:-525.3337420990675
round:9, server:10, server-best-value:-508.0280387864353, round-best-value:-525.3337420990675
round:9, server:11, server-best-value:-507.58352178334553, round-best-value:-525.3337420990675
round:9, server:12, server-best-value:-520.2640709348991, round-best-value:-525.3337420990675
round:9, server:13, server-best-value:-516.1318649609957, round-best-value:-525.3337420990675
round:9, server:14, server-best-value:-502.2077467489566, round-best-value:-525.3337420990675
round:9, server:15, server-best-value:-524.3434788785733, round-best-value:-525.3337420990675
round:10, server:1, server-best-value:-538.338011267995, round-best-value:-538.338011267995
round:10, server:2, server-best-value:-525.3337420990676, round-best-value:-538.338011267995
round:10, server:3, server-best-value:-532.9607553326261, round-best-value:-538.338011267995
round:10, server:4, server-best-value:-534.14322289724, round-best-value:-538.338011267995
round:10, server:5, server-best-value:-525.3337420990676, round-best-value:-538.338011267995
round:10, server:6, server-best-value:-543.8117394694701, round-best-value:-543.8117394694701
round:10, server:7, server-best-value:-525.3337420990676, round-best-value:-543.8117394694701
round:10, server:8, server-best-value:-525.3337420990676, round-best-value:-543.8117394694701
round:10, server:9, server-best-value:-525.3337420990676, round-best-value:-543.8117394694701
round:10, server:10, server-best-value:-525.3337420990676, round-best-value:-543.8117394694701
round:10, server:11, server-best-value:-541.8093202737819, round-best-value:-543.8117394694701
round:10, server:12, server-best-value:-550.6409156117385, round-best-value:-550.6409156117385
round:10, server:13, server-best-value:-533.0246180587918, round-best-value:-550.6409156117385
round:10, server:14, server-best-value:-532.584591425796, round-best-value:-550.6409156117385
round:10, server:15, server-best-value:-554.7203235554125, round-best-value:-554.7203235554125
round:11, server:1, server-best-value:-567.7245927243399, round-best-value:-567.7245927243399
round:11, server:2, server-best-value:-554.7203235554125, round-best-value:-567.7245927243399
round:11, server:3, server-best-value:-562.3473367889711, round-best-value:-567.7245927243399
round:11, server:4, server-best-value:-563.529804353585, round-best-value:-567.7245927243399
round:11, server:5, server-best-value:-554.7203235554126, round-best-value:-567.7245927243399
round:11, server:6, server-best-value:-554.7203235554126, round-best-value:-567.7245927243399
round:11, server:7, server-best-value:-554.7203235554127, round-best-value:-567.7245927243399
round:11, server:8, server-best-value:-554.7203235554126, round-best-value:-567.7245927243399
round:11, server:9, server-best-value:-554.7203235554126, round-best-value:-567.7245927243399
round:11, server:10, server-best-value:10000000000.0, round-best-value:-567.7245927243399
round:11, server:11, server-best-value:-569.0430708947347, round-best-value:-569.0430708947347
round:11, server:12, server-best-value:-580.0274970680833, round-best-value:-580.0274970680833
round:11, server:13, server-best-value:-554.7203235554126, round-best-value:-580.0274970680833
round:11, server:14, server-best-value:-561.9711728821412, round-best-value:-580.0274970680833
round:11, server:15, server-best-value:-554.7203235554125, round-best-value:-580.0274970680833
round:12, server:1, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:2, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:3, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:4, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:5, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:6, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:7, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:8, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:9, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:10, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:11, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:12, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:13, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:14, server-best-value:10000000000.0, round-best-value:1000000000.0
round:12, server:15, server-best-value:10000000000.0, round-best-value:1000000000.0
final-object-value:-580.0274970680833, final-best-servers:[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
