round:1, server:1, service:1, this-value:-25.863901747228194, time-cost:1.1170225143432617, server-best-service:1, server-best-value:-25.863901747228194
round:1, server:1, service:2, this-value:-24.18743472538915, time-cost:0.8675360679626465, server-best-service:1, server-best-value:-25.863901747228194
round:1, server:1, service:3, this-value:-23.77127308700778, time-cost:1.1138207912445068, server-best-service:1, server-best-value:-25.863901747228194
round:1, server:1, service:4, this-value:-78.95471510430411, time-cost:0.8200585842132568, server-best-service:4, server-best-value:-78.95471510430411
round:1, server:1, service:5, this-value:-31.721374000450567, time-cost:0.8692028522491455, server-best-service:4, server-best-value:-78.95471510430411
round:1, server:1, service:6, this-value:-17.227705375937646, time-cost:0.8349556922912598, server-best-service:4, server-best-value:-78.95471510430411
round:1, server:1, service:7, this-value:-53.19122955428706, time-cost:0.8108954429626465, server-best-service:4, server-best-value:-78.95471510430411
round:1, server:1, service:8, this-value:-28.744804918721293, time-cost:0.843177318572998, server-best-service:4, server-best-value:-78.95471510430411
round:1, server:1, service:9, this-value:-40.8083632059509, time-cost:0.8295071125030518, server-best-service:4, server-best-value:-78.95471510430411
round:1, server:1, service:10, this-value:-39.666871621594645, time-cost:0.7932708263397217, server-best-service:4, server-best-value:-78.95471510430411
round:2, server:1, service:1, this-value:-112.823685568773, time-cost:0.7943887710571289, server-best-service:1, server-best-value:-112.823685568773
round:2, server:1, service:2, this-value:-111.14721854693397, time-cost:0.7752721309661865, server-best-service:1, server-best-value:-112.823685568773
round:2, server:1, service:3, this-value:-110.7310569085526, time-cost:0.8748371601104736, server-best-service:1, server-best-value:-112.823685568773
round:2, server:1, service:4, this-value:-165.91449892584893, time-cost:1.0301921367645264, server-best-service:4, server-best-value:-165.91449892584893
round:2, server:1, service:5, this-value:-118.68115782199538, time-cost:0.7706043720245361, server-best-service:4, server-best-value:-165.91449892584893
round:2, server:1, service:6, this-value:-104.18748919748245, time-cost:0.8237969875335693, server-best-service:4, server-best-value:-165.91449892584893
round:2, server:1, service:7, this-value:-140.15101337583187, time-cost:0.7846982479095459, server-best-service:4, server-best-value:-165.91449892584893
round:2, server:1, service:8, this-value:-115.70458874026612, time-cost:0.7898240089416504, server-best-service:4, server-best-value:-165.91449892584893
round:2, server:1, service:9, this-value:-127.7681470274957, time-cost:0.9462735652923584, server-best-service:4, server-best-value:-165.91449892584893
round:2, server:1, service:10, this-value:-126.62665544313944, time-cost:0.8220582008361816, server-best-service:4, server-best-value:-165.91449892584893
round:3, server:1, service:1, this-value:-191.81676649864906, time-cost:0.7420046329498291, server-best-service:1, server-best-value:-191.81676649864906
round:3, server:1, service:2, this-value:-190.14029947681, time-cost:0.7217316627502441, server-best-service:1, server-best-value:-191.81676649864906
round:3, server:1, service:3, this-value:-189.7241378384286, time-cost:0.7303662300109863, server-best-service:1, server-best-value:-191.81676649864906
round:3, server:1, service:4, this-value:-244.90757985572492, time-cost:0.7278375625610352, server-best-service:4, server-best-value:-244.90757985572492
round:3, server:1, service:5, this-value:-197.6742387518714, time-cost:0.7374780178070068, server-best-service:4, server-best-value:-244.90757985572492
round:3, server:1, service:6, this-value:-183.18057012735852, time-cost:0.7274518013000488, server-best-service:4, server-best-value:-244.90757985572492
round:3, server:1, service:7, this-value:-219.1440943057079, time-cost:0.7342126369476318, server-best-service:4, server-best-value:-244.90757985572492
round:3, server:1, service:8, this-value:-194.69766967014218, time-cost:0.7540206909179688, server-best-service:4, server-best-value:-244.90757985572492
round:3, server:1, service:9, this-value:-206.76122795737177, time-cost:0.7275869846343994, server-best-service:4, server-best-value:-244.90757985572492
round:3, server:1, service:10, this-value:-205.61973637301546, time-cost:0.7330706119537354, server-best-service:4, server-best-value:-244.90757985572492
round:4, server:1, service:1, this-value:-244.90757985572498, time-cost:0.7305889129638672, server-best-service:1, server-best-value:-244.90757985572498
round:4, server:1, service:2, this-value:-244.90757985572495, time-cost:0.7247748374938965, server-best-service:1, server-best-value:-244.90757985572498
round:4, server:1, service:3, this-value:-244.90757985572495, time-cost:0.7240962982177734, server-best-service:1, server-best-value:-244.90757985572498
round:4, server:1, service:5, this-value:-244.90757985572495, time-cost:0.7320075035095215, server-best-service:1, server-best-value:-244.90757985572498
round:4, server:1, service:6, this-value:-244.90757985572495, time-cost:0.7201087474822998, server-best-service:1, server-best-value:-244.90757985572498
round:4, server:1, service:7, this-value:-244.90757985572506, time-cost:0.7182953357696533, server-best-service:7, server-best-value:-244.90757985572506
round:4, server:1, service:8, this-value:-244.90757985572503, time-cost:0.7249064445495605, server-best-service:7, server-best-value:-244.90757985572506
round:4, server:1, service:9, this-value:-244.90757985572498, time-cost:0.7338657379150391, server-best-service:7, server-best-value:-244.90757985572506
round:4, server:1, service:10, this-value:-244.90757985572495, time-cost:0.7266671657562256, server-best-service:7, server-best-value:-244.90757985572506
