initial time: 0.009999752044677734
round:3, iter:5, this-value:-1218.6891449781263, time-cost:0.015002250671386719, round-best-server:2, round-best-value:-1244.2997635400961
round:3, iter:7, this-value:-1029.6141608516418, time-cost:0.017969369888305664, round-best-server:2, round-best-value:-1244.2997635400961
round:3, iter:9, this-value:-1395.7590997111413, time-cost:0.014998674392700195, round-best-server:9, round-best-value:-1395.7590997111413
round:3, iter:10, this-value:-1444.8515899852198, time-cost:0.016000747680664062, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:11, this-value:-1029.6141608516418, time-cost:0.01600050926208496, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:12, this-value:-1109.1642977199972, time-cost:0.015999794006347656, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:13, this-value:-1029.6141608516418, time-cost:0.01699972152709961, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:14, this-value:-1091.3914184106882, time-cost:0.015999794006347656, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:15, this-value:-1099.6744754572326, time-cost:0.015001535415649414, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:16, this-value:-1029.6141608516418, time-cost:0.015000104904174805, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:17, this-value:-1104.8231009047586, time-cost:0.016002416610717773, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:18, this-value:-1029.6141608516418, time-cost:0.014998197555541992, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:19, this-value:-1088.0201202039568, time-cost:0.015001058578491211, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:20, this-value:-1095.851155641407, time-cost:0.016005277633666992, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:21, this-value:-1029.6141608516418, time-cost:0.013995647430419922, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:22, this-value:-1180.2391584523384, time-cost:0.01499795913696289, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:23, this-value:-1029.6141608516418, time-cost:0.016001462936401367, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:24, this-value:-1146.58692341279, time-cost:0.01599907875061035, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:25, this-value:-1162.2705601339542, time-cost:0.01600050926208496, round-best-server:10, round-best-value:-1444.8515899852198
round:4, iter:1, this-value:-1444.8515899852198, time-cost:0.01600027084350586, round-best-server:1, round-best-value:-1444.8515899852198
round:4, iter:2, this-value:-1659.5371926736739, time-cost:0.019000768661499023, round-best-server:2, round-best-value:-1659.5371926736739
round:4, iter:3, this-value:-1444.85158998522, time-cost:0.01600027084350586, round-best-server:2, round-best-value:-1659.5371926736739
round:4, iter:4, this-value:-1611.5727081833152, time-cost:0.01700568199157715, round-best-server:2, round-best-value:-1659.5371926736739
round:4, iter:5, this-value:-1444.8515899852198, time-cost:0.016997098922729492, round-best-server:2, round-best-value:-1659.5371926736739
round:4, iter:7, this-value:-1444.8515899852198, time-cost:0.016997575759887695, round-best-server:2, round-best-value:-1659.5371926736739
round:4, iter:9, this-value:-1810.9965288447193, time-cost:0.01700115203857422, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:11, this-value:-1444.8515899852198, time-cost:0.014997482299804688, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:12, this-value:-1524.401726853575, time-cost:0.016004562377929688, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:13, this-value:-1444.8515899852196, time-cost:0.02199697494506836, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:14, this-value:-1506.6288475442661, time-cost:0.020000696182250977, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:15, this-value:-1444.8515899852196, time-cost:0.021002531051635742, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:16, this-value:-1444.8515899852198, time-cost:0.023001909255981445, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:17, this-value:-1520.0605300383363, time-cost:0.02400946617126465, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:18, this-value:-1444.8515899852196, time-cost:0.020999670028686523, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:19, this-value:-1503.2575493375348, time-cost:0.018000364303588867, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:20, this-value:-1444.8515899852196, time-cost:0.015999555587768555, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:21, this-value:-1444.8515899852198, time-cost:0.014991283416748047, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:22, this-value:-1595.4765875859161, time-cost:0.015999317169189453, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:23, this-value:-1444.8515899852196, time-cost:0.015000343322753906, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:24, this-value:-1561.824352546368, time-cost:0.015002727508544922, round-best-server:9, round-best-value:-1810.9965288447193
round:4, iter:25, this-value:-1444.8515899852196, time-cost:0.01599907875061035, round-best-server:9, round-best-value:-1810.9965288447193
round:5, iter:1, this-value:-1810.9965288447193, time-cost:0.016000986099243164, round-best-server:1, round-best-value:-1810.9965288447193
round:5, iter:2, this-value:-2025.682131533173, time-cost:0.01600193977355957, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:3, this-value:-1810.9965288447193, time-cost:0.016033411026000977, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:4, this-value:-1810.9965288447193, time-cost:0.017987966537475586, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:5, this-value:-1810.9965288447193, time-cost:0.015999794006347656, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:7, this-value:-1810.9965288447193, time-cost:0.017001867294311523, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:11, this-value:-1810.9965288447193, time-cost:0.016004085540771484, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:12, this-value:-1890.5466657130744, time-cost:0.01699542999267578, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:13, this-value:-1810.9965288447193, time-cost:0.017000436782836914, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:14, this-value:-1810.996528844719, time-cost:0.016002178192138672, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:15, this-value:-1810.9965288447193, time-cost:0.016002416610717773, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:16, this-value:-1810.9965288447193, time-cost:0.015994787216186523, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:17, this-value:-1886.2054688978358, time-cost:0.01699995994567871, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:18, this-value:-1810.9965288447193, time-cost:0.016999006271362305, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:19, this-value:-1810.996528844719, time-cost:0.017000675201416016, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:20, this-value:-1810.9965288447193, time-cost:0.015000104904174805, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:21, this-value:-1810.9965288447193, time-cost:0.015003442764282227, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:22, this-value:-1961.6215264454156, time-cost:0.014997243881225586, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:23, this-value:-1810.9965288447193, time-cost:0.01600360870361328, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:24, this-value:-1810.996528844719, time-cost:0.015030622482299805, round-best-server:2, round-best-value:-2025.682131533173
round:5, iter:25, this-value:-1810.9965288447193, time-cost:0.014996767044067383, round-best-server:2, round-best-value:-2025.682131533173
round:6, iter:1, this-value:-2025.6821315331733, time-cost:0.015000104904174805, round-best-server:1, round-best-value:-2025.6821315331733
round:6, iter:3, this-value:-2025.6821315331733, time-cost:0.015970230102539062, round-best-server:1, round-best-value:-2025.6821315331733
round:6, iter:4, this-value:-2025.6821315331733, time-cost:0.014000415802001953, round-best-server:1, round-best-value:-2025.6821315331733
round:6, iter:5, this-value:-2025.6821315331733, time-cost:0.018001317977905273, round-best-server:1, round-best-value:-2025.6821315331733
round:6, iter:7, this-value:-2025.682131533173, time-cost:0.014030218124389648, round-best-server:1, round-best-value:-2025.6821315331733
round:6, iter:11, this-value:-2025.6821315331733, time-cost:0.014968156814575195, round-best-server:1, round-best-value:-2025.6821315331733
round:6, iter:12, this-value:-2025.6821315331736, time-cost:0.016030073165893555, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:13, this-value:-2025.6821315331733, time-cost:0.023972511291503906, round-best-server:12, round-best-value:-2025.6821315331736
